pmid,publication_year,authors,title,abstract,residue_type,residue_origin,frap_value,frap_units,search_query
40074183,2025,"Krgović, Nemanja; Stojković, Dejan; Ivanov, Marija; Dimitrijević, Milena; Menković, Nebojša; Ilić, Milan; Jovanović, Miloš S; Šavikin, Katarina; Živković, Jelena","Black raspberry seed oil - Chemical composition, antioxidant/antimicrobial activities and in vitro wound-healing potential.","This study aimed to perform chemical characterization of black raspberry seed oil (Rubus occidentalis L., Rosaceae) from Serbia in terms of fatty acids and tocols composition, total carotenoid content, as well as to investigate its antioxidant/antimicrobial activities and in vitro wound-healing potential. GC/MS analysis revealed that linoleic (39.30 %), α-linolenic (30.49 %) and oleic (18.94 %) acid were dominant fatty acids. HPLC analysis highlighted γ-tocopherol as the prevailing tocopherol isomer (166.80 mg/100 g). Spectrophotometric method determined a total carotenoid content of 1.20 mg/100 g. Appreciable antiradical activity (DPPH - IC<sub>50</sub> 3.02 mg/mL; ABTS - IC<sub>50</sub> 1.33 mg/mL) and a high level of reducing ability (FRAP value of 393.74 μmol Fe<sup>2+</sup>/100 g) were observed. Significant antibacterial activity against Salmonella Typhimurium, Escherichia coli and Bacillus cereus, in addition to antifungal activity against strains from Aspergillus and Trichoderma genera, was demonstrated. By cell viability assay, no cytotoxicity (IC<sub>50</sub> > 401 μg/mL) was established on human keratinocytes (HaCaT cells). The wound-healing activity, evaluated by scratch assay, was found to be 2.41-fold higher in HaCaT cells treated with 100 μg/mL of black raspberry seed oil (41.77 %) than in non-treated cells (17.34 %). Taken together, black raspberry seed oil holds promising health potential.",,berry,393.74,μmol,fruits AND FRAP AND antioxidant
38999567,2024,"Arena, Donata; Ben Ammar, Hajer; Major, Nikola; Kovačević, Tvrtko Karlo; Goreta Ban, Smiljana; Al Achkar, Nicolas; Rizzo, Giulio Flavio; Branca, Ferdinando",Diversity of the Morphometric and Biochemical Traits of <i>Allium cepa</i> L. Varieties.,"Several <i>Allium cepa</i> L. varieties, representing a versatile set of vegetables widely utilized by consumers, are appreciated for their bioactive properties, including antimicrobial, anticarcinogenic, and antioxidant capacities. The aim of this study is to compare the morphometric characteristics and biochemical profiles of four cultivars of <i>A. cepa</i>, two of them represented by the perennial Sicilian landrace ""Cipudda agghiarola"" (<i>Allium</i> × <i>proliferum</i> (Moench) Schrader), widely known as the Egyptian walking onion (WO), and by the landrace ""Cipudduzza"" belonging to the variety known as <i>aggregatum</i> (ON), which were compared with two commercial cultivars of <i>A. cepa</i> var. <i>cepa</i> (onion), Stoccarda (OS) and Rossa Carmen (OR). The experimental trial was conducted in Catania (Sicily), following organic growing practices. The randomized complete block experimental design was adopted with one experimental factor, the genotype (GE) effect. The harvested plants were characterized for their main morphometric parameters, according to the International Plant Genetic Resources (IGPR) descriptors. The biochemical activity was assessed by analyzing the total phenolic content (TPC) and the total flavonoid content (TFC). The antioxidant capacity was determined by 2,2-diphenyl-1-picrylhydrazyl (DPPH) radical scavenging, ferric reducing antioxidant power (FRAP), and oxygen radical absorbance capacity (ORAC). The sugar profile (total sugars, sucrose, glucose, fructose, and fructooligosaccharides-FOS) and the volatile compounds by headspace-gas chromatography/mass spectrometry (HS-GC/MS) were also determined. The OR bulb exhibited the highest TPC (16.3 mg GAE/g d.w., <i>p</i> < 0.01) and TFC (8.5 mg QE/g d.w., <i>p</i> < 0.01), with the highest antioxidant capacity measured by the FRAP (27.1 µmol TE/g d.w., <i>p</i> < 0.01) and DPPH assays (46.2 µmol TE/g d.w., <i>p</i> < 0.01). The ON bulb showed the highest ORAC value (209 µmol TE/g d.w., <i>p</i> < 0.01). Generally, the bulbs were richer in sugars (584 mg/g d.w., <i>p</i> < 0.01) than the leaf blade (239 mg/g d.w., <i>p</i> < 0.01), except for OR. Significant interaction between the genotype and plant organ was noted in the volatile compound profiles (<i>p</i> < 0.05) except for total ketones and carboxylic acids, where higher content was observed in the leaf blade compared to the bulb, regardless of the genotype. These findings highlight WO's potential for use in ready-to-eat products, enhancing its market value.",,,27.1,µmol te/g,vegetables AND FRAP AND antioxidant
38775340,2024,"Sharma, Himanshu; Chawla, Neena; Dhatt, Ajmer Singh; Deka, Dipak; Singh, Sarabjot",<i>In vitro</i> and <i>in silico</i> study of eggplant extract on human cancer cell lines.,"The aim of this research was to study the metabolite composition, antioxidative potential and cytotoxic activities of <i>Solanum melongena</i> fruit extracts. Phytochemical analyses of extracts were performed using LC-MS. Phenolic compounds were the major constituents present in the fruit extracts. Free radical scavenging activities were recorded and the highest activities were reported in methanolic extracts using DPPH (103.70 ± 2.75 EC<sub>50</sub> μg/mL), ABTS (81.74 ± 3.64 EC<sub>50</sub> μg/mL), and FRAP (22.39 ± 1.52 μmol TE/g) assays. Quantification has suggested the presence of delphinidin derivatives, and caffeic acid conjugates as major constituents of fruit extracts. The potential binding of these derivatives with human cell surface receptors was analysed using <i>in silico</i> analysis and validated for cytotoxic and apoptotic effects using <i>in vitro</i> studies on human cancer cell lines. The methanolic extract has shown the highest cytotoxic activity.",,,1.52,μmol te/g,vegetables AND FRAP AND antioxidant
37920786,2023,"Laya, Alphonse",Physicochemical Composition and Antioxidant Activity of Five Gari Processed from Cassava Roots (<i>Manihot esculenta Crantz</i>) Harvested at Two Different Maturity Stages and Two Seasons.,"<i>Gari</i> is a partially gelatinized roasted fermented granular white or yellowish product made from storage roots of cassava. It is consumed as fast foods in many countries across the world. Physicochemical composition, particle size, colour, and antioxidant activities of five <i>gari</i> (92/0326, 96/1414, IRAD4115, EN, and AD) processed from fresh storage roots harvested at 12 months after planting (MAP) and 15MAP compared to four (4) commercial <i>gari</i> (M1, M2, M3, and M4) were evaluated. The analytical results revealed that colour value <i>b</i><sup>∗</sup> and particle size varied significantly (<i>p</i> < 0.05) among the <i>gari</i> samples. Bound flavonoid contents were lower than free flavonoids (3.93 to 10.50 mgQE/100 g and 2.40 to 8.85 mgQE/100 g, respectively). Fourier transform infrared confirmed the functional groups in all <i>gari</i> samples. The antioxidant activity of the bound phenolics showed significantly (<i>p</i> < 0.05) higher DPPH scavenging ability than free phenolics (<i>gari</i> M2: 2.70 <i>μ</i>gTE/g). Similarly, the bound phenolics showed significant (<i>p</i> < 0.05) variation of HRSA scavenging activity (0.18-35.09 <i>μ</i>gTE/g). However, the best HRSA scavenging activity was found with bound phenolics of <i>gari</i> 96/1414, whereas HRSA scavenging activity was not detected in <i>gari</i> 92/0326, 96/1414, and AD. The value of ABTS scavenging activity of <i>gari</i> varied significantly (<i>p</i> < 0.05) from 20.60 to 30.17 <i>μ</i>gTE/g and from 20.70 to 34.39 for free and bound phenolics, respectively, while free phenolics showed higher FRAP value (7.97 mgTE/g) than the bound phenolics (4.59 mgTE/g). Additionally, phenolics and antioxidant activities showed significantly (<i>p</i> < 0.05) a positive correlation. The present study has provided an insight into the physicochemical composition, bioactive compounds, and antioxidant activities of various <i>gari</i> processed at different season and maturity period of harvesting. It reveals that consumers of cassava <i>gari</i> can get health benefits apart from the nutritional values.",,,7.97,mgte/g,vegetables AND FRAP AND antioxidant
36937351,2023,"Talang, Hammylliende; Yanthan, Aabon; Rathi, Ranbir Singh; Pradheep, Kanakasabapathi; Longkumer, Soyimchiten; Imsong, Bendangla; Singh, Laishram Hemanta; Assumi, Ruth S; Devi, M Bilashini; Kumar, Ashok; Ahlawat, Sudhir Pal; Bhatt, Kailash C; Bhardwaj, Rakesh",Nutritional evaluation of some potential wild edible plants of North Eastern region of India.,"India's north-eastern hill region (NEH) is one of the biodiversity hotspots, inhabited by several tribal communities still maintaining their traditional food habits. Much of their food resources are drawn from wild sources. Fourteen species of wild edible plants of high ethnic importance were collected from remote localities of Nagaland and Meghalaya states of the NEH region of India for nutritional profiling. Nutritional profiling of leaves of six species comprising <i>Gynura cusimbua, Garcinia cowa, Herpetospermum operculatum, Plukenetia corniculata, Trichodesma khasianum</i>, and <i>Elatostemma sessile</i> is conducted first time under present study. Samples were analyzed as per the Official Method of Analysis (AOAC) and standard methods. The range of variation in proximate composition was observed for moisture (72-92%), protein (1.71-6.66%), fat (0.22-1.36%), dietary fibre (5.16-14.58%), sugar (0.30-3.41%), and starch (0.07-2.14%). The highest protein content (6.66%) was recorded in <i>Herpetospermum operculatum</i>, followed by <i>Trichodesma khasianum</i> (5.89%) and <i>Plukenetia corniculata</i> (5.27%). Incidentally, two of these also have high iron (>7.0 mg/100 g) and high zinc (>2.0 mg/100 g) contents, except <i>Trichodesma khasianum</i>, which has low zinc content. High antioxidant activities in terms of gallic acid equivalent (GAE) by the cupric ion reducing antioxidant capacity (CUPRAC) method ranged from 1.10 to 8.40 mg/100 g, and by the Fluorescence recovery after photobleaching (FRAP) method ranged from 0.10 to 1.9 mg/100 g, while phenol content ranged between 0.30 and 6.00 mg/100 g. These wild vegetables have high potential because of their nutritional properties and are fully capable of enhancing sustainability and improving ecosystem services. Efforts were also initiated to mainstream these resources, mainly for widening the food basket of native peoples.",,corn,8.4,mg/g,vegetables AND FRAP AND antioxidant
40476903,2023,"Gomez, Saji; Anjali, C; Kuruvila, Bintu; Maneesha, P K; Joseph, Meagle",Phytochemical constitution and antioxidant activity of functional herbal drink from Indian gooseberry (<i>Emblica officinalis</i> Gaertn.) fruits containing spices and condiments.,"Functional beverages originate primarily from fruits and vegetables sources, but also include those from other plants such as tea, coffee, cocoa, soybean as well as animal products like milk and dairy-based and alcoholic drinks. They have definite medical or health benefits which include prevention or delaying the progress of diseases. Indian gooseberry is a very rich source of vitamin C and phenolics, two potent antioxidant compounds. Similarly curcumin in turmeric, piperine in black pepper and gingerol in ginger have proven antioxidant and anti-inflammatory properties. Incidence of covid-19 pandemic has raised awareness among people the importance of maintaining higher levels of immunity. A study was undertaken at Kerala Agricultural University during 2020-21 to develop an herbal functional drink from Indian gooseberry fruit juice incorporated with turmeric and black pepper powders, ginger juice extract and juice of acid lime fruits. The herbal drink formulated with these ingredients was homogenized at an operating pressure of 175 Bar with a speed of 235 SPM and was subsequently pasteurized at 100 <sup>0</sup> C for 10 minutes in glass bottles, followed by storage under refrigerated conditions at 5 ± 2 <sup>0</sup> C for 3 months. The initial ascorbic acid, total phenolics, total flavonoids, total carotenoids and total curcumin contents were 61.0 mg100g<sup>- 1</sup>, 184.0 mg100g<sup>- 1</sup>, 153.0 mg100g<sup>- 1</sup>, 119.98 mg100g<sup>- 1</sup> and 31.0 mg100g<sup>- 1</sup>, respectively. Antioxidant activity of the herbal drink was determined by three assays, viz. ABTS, DDPH and FRAP. The initial IC <sub>50</sub> values of the herbal drink by ABTS, DPPH and FRAP assays were 8.64, 0.212 and 0.368 μgml<sup>- 1</sup>, respectively. Significant decline in ascorbic acid, total flavonoids, total carotenoids and curcumin content were recorded in the product during storage in contrast to the total phenolics content which showed a significant rise over the storage period. Antioxidant activity of the herbal drink determined by all the three assays also declined significantly throughout the storage period. The results indicate that the product can be promoted as a healthy drink which has to be stored at low temperature in order to retain higher levels of antioxidant compounds and antioxidant activity.",,berry,61.0,mg/g,vegetables AND FRAP AND antioxidant
36559609,2022,"Jeytawan, Natwasan; Yadoung, Sumed; Jeeno, Peerapong; Yana, Pichamon; Sutan, Kunrunya; Naksen, Warangkana; Wongkaew, Malaiporn; Sommano, Sarana Rose; Hongsibsong, Surat",Antioxidant and Phytochemical Potential of and Phytochemicals in <i>Gymnema inodorum</i> (Lour.) Decne in Northern Thailand.,"<i>Gymnema inodorum</i> (Lour.) Decne is a vegetable local to Chiang Mai Province of Northern Thailand. This study aimed to analyze the antioxidant and phytochemical potential of <i>G. inodorum</i> found in Chiang Mai Province; antioxidant compounds of <i>G. inodorum</i> were tested via DPPH, ABTS and FRAP assays, and total phenolic compound and total flavonoid contents were analyzed. Anti-inflammatory effects were focused on regarding pharmacological potential. The gymnemic acid level was analyzed by HPLC-UV, and other potential chemicals were analyzed by LC-QTOF/MS. The quantifications of gymnemic acid contents analyzed using HPLC-UV showed that the highest gymnemic acid concentrations were found in the air-dried and roasted 1-day-fermented leaf extracts (0.1258 ± 0.0157 μg/mg). The highest free radical scavenging activity via DPPH assay was found in baked leaf extract, with an IC<sub>50</sub> of 8.99 mg/mL, and via ABTS assay in baked and roasted leaf extracts, with an IC<sub>50</sub> of 1.05 mg/mL. FRAP assays showed the highest free radical scavenging activity for the baked leaf extract, with 0.0085 ± 0.008 mM Fe<sup>2+</sup>/g sample. The total phenolic contents of fresh <i>G. inodorum</i> leaf extracts obtained with ethanol, methanol and water were 0.19 ± 0.0004, 0.21 ± 0.0010 and 0.10 ± 0.0008 μg GAE/g, respectively. The total flavonoid contents of fresh <i>G. inodorum</i> leaf extracts obtained with ethanol, methanol and water were 74.56 ± 28.00, 71.88 ± 16.11 and 10.74 ± 3.63 μg QE/g, respectively. The LC-QTOF/MS analysis of the fresh <i>G. inodorum</i> leaf extract showed that 6-hydroxykaempferol 7-rutinoside was the most abundant compound. In the study, <i>G. inodorum</i>, a plant local to Northern Thailand, is shown to be a useful plant with high antioxidant and phytochemical potential properties.",,,8.99,mg/g,vegetables AND FRAP AND antioxidant
39728118,2024,"Baek, Suhyeon; Bae, Ji-Eun; Miao, Yu; Kim, Gahyeon; Ryu, Bomi; Lee, Byung-Hoo; Lee, Sanggil","Optimized Extraction of Sargahydroquinoic Acid, Major Bioactive Substance, from <i>Sargassum yezoense</i> Using Response Surface Methodology.","Sargahydroquinoic acid (SHQA), a bioactive compound found in certain <i>Sargassum</i> species, exhibits significant health benefits. This study optimized the extraction of SHQA from <i>Sargassum yezoense</i> using response surface methodology (RSM) and evaluated its antioxidant effects through in vitro and in vivo assays. A Box-Behnken design (BBD) was effectively employed to investigate the effects of incubation temperature, time, and ethanol concentration on SHQA yield, achieving a high coefficient of determination (R<sup>2</sup> = 0.961). Analysis of variance (ANOVA) validated the model's reliability (<i>F</i> = 13.86, <i>p</i> = 0.005) and highlighted ethanol concentration as a highly significant factor (<i>p</i> < 0.001). Optimal extraction conditions were identified as 52.8 °C, 8.3 h, and 74.1% ethanol. The SHQA-maximized extract (SME) contained 67.8 ± 0.6 mg SHQA/g and 25.00 ± 1.01 mg phloroglucinol equivalent/g. SME exhibited antioxidant capacity of 26.45 ± 0.66 mg and 28.74 ± 2.30 mg vitamin C equivalent/g in ABTS and DPPH assays, respectively, and 0.29 ± 0.02 mM FeSO<sub>4</sub> equivalent/g in the FRAP assay. Additionally, SME at 50 µg/mL and SHQA at 1 µg/mL inhibited reactive oxygen species (ROS) generation in an H<sub>2</sub>O<sub>2</sub>-induced zebrafish model. This study presents the first optimization of SHQA extraction using RSM and demonstrates SHQA's ROS inhibition in a zebrafish model.",,,0.6,mg/g,grains AND FRAP AND antioxidant
39456498,2024,"Jiménez-Pulido, Iván Jesús; Martín-Diana, Ana Belén; Luis, Daniel de; Rico, Daniel","Comparative Bioaccesibility Study of Cereal-Based Nutraceutical Ingredients Using INFOGEST Static, Semi-Dynamic and Dynamic In Vitro Gastrointestinal Digestion.","Efficient development of effective functional foods and nutraceuticals requires adequate estimation methods of the bioaccessibility of their bioactive compounds. Specially grain-based nutraceuticals and functional ingredients are often enriched in bound/low bioavailable bioactive phytochemicals. The objective of this work was to evaluate the differences in applying static or dynamic digestion models for the estimation of bioaccessibility of antioxidants present in cereal grain-based/fiber-rich ingredients produced using enzymatic hydrolysis and sprouting processes. Main liberated phenolic compounds, antioxidant activity (ABTS<sup>•+</sup> and ORAC) and ferric reducing capacity were evaluated in the samples following three digestion protocols with differences based on their dynamism: static, semi-dynamic and dynamic. The samples digested with the dynamic method showed higher antioxidant and reducing capacities than those digested with the static and semi-dynamic protocols. The results obtained from the digests with the dynamic model showed a total phenol content (TPs) ranging from 1068.22 to 1456.65 μmol GAE 100 g<sup>-1</sup> and antioxidant capacity values from 7944.62 to 15,641.90 μmol TE 100 g<sup>-1</sup> (ORAC) and from 8454.08 to 11,002.64 μmol TE 100 g<sup>-1</sup> (ABTS<sup>•+</sup>), with a reducing power ranging from 2103.32 to 2679.78 mmol Fe reduced 100 g<sup>-1</sup> (FRAP). The dynamic character of the protocols used for developing bioactive cereal-based foods significantly affects the estimation of their bioaccessibility, probably giving a better approach to their potential bioavailability in in vivo systems.",,,2679.78,mmol/g,grains AND FRAP AND antioxidant
36444013,2023,"Berlic, Maja; Jug, Urška; Battelino, Tadej; Levart, Alenka; Dimitrovska, Ivana; Albreht, Alen; Korošec, Mojca",Antioxidant-rich foods and nutritional value in daily kindergarten menu: A randomized controlled evaluation executed in Slovenia.,"Little is known about Total Antioxidant Capacity (TAC) of daily kindergarten menus. The objective of the present study was to determine whether, antioxidant-enriched kindergarten menu had, compared to a standard one, more optimal proximate composition, energy value and higher antioxidant capacity of free and bound dietary antioxidants. Antioxidant-enriched kindergarten meals, on average, contained significantly more vegetables, nuts, and whole grain foods (p < 0.05) and the average proximate composition and mineral content were more consistent with Dietary Reference Intake (DRIs). Additionally, in antioxidant-enriched vs standard daily meals, average TAC was 1369 mg vs 586 mg vitamin C equivalent (determined by 2'-azinobis-[3-ethylbenzthiazoline-6-sulfonic acid] radical scavenging capacity (ABTS) assay) and 1734 mg vs 810 mg vitamin C equivalent determined by ferric reducing antioxidant power (FRAP) assay. Our study shed light on free and bound antioxidants in daily kindergarten meals and highlighted that supplementing kindergarten meals with foods rich in antioxidants can significantly improve dietary intakes.",meal,,1734.0,mg/g,grains AND FRAP AND antioxidant
36282115,2022,"Sahin, Huseyin; Ozkok, Asli; Tanugur Samanci, Asli Elif; Onder, Elif Yorulmaz; Kolayli, Sevgi",Identification of the Main Phenolic Markers in Turkish Pine Honeys and Their Biological Functions.,"The purpose of this research was to identify the biological activity of Turkish pine honeys and the most abundant phenolic compound(s) to guide future studies to be done about this type of honey. Moreover, this will provide the chance to introduce Turkish pine honeys by elucidating a distinct parameter compared to other forms of honey reported in the literature. To this end, microscopic examination based on the number of honeydew elements (NHE) and the number of total pollen (NTP) grains was performed on 17 samples of pine honeys from the Aegean region of Turkey. Then 18 commonly-occurring phenolic standards were used in high-performance liquid chromatography (HPLC) to examine the samples. Each sample was tested for individual phenolic compounds, as well as total phenolic content (TPC), total flavonoid content (TFC), and ferric reducing antioxidant power (FRAP). As shown by the numerical data, the values for NHE and NTP were 6600-144000 and 3000-75000, respectively. In addition, the general means of TPC, TFC, and FRAP values for the samples were 53.000 mg GAE/100 g fresh sample, 1.944 mg QE/100 g fresh sample, and 3.455 μmol FeSO<sub>4</sub> /g fresh sample, respectively. Protocatechuic acid predominated with a range of 197.841-780.227 μg phenolic /100 g sample in all samples. According to the general mean for values detected in the samples, p-hydroxybenzoic acid and benzoic acid were the second and third markers for Turkish pine honey samples. It is believed that these results will help efforts to set standards for pine honey on a national and global scale.",,,53.0,mg,grains AND FRAP AND antioxidant
35098455,2022,"Siddiqui, Tabassum; Khan, Nida Jamil; Asif, Nida; Ahamad, Irshad; Yasin, Durdana; Fatma, Tasneem","Screening, characterisation and bioactivities of green fabricated TiO<sub>2</sub> NP via cyanobacterial extract.","The present study was aimed at exploring 37 strains of cyanobacteria for the biofabrication of TiO<sub>2</sub> NP and evaluation of their antioxidant, antifungal, antibacterial and hemolytic activity. Screening of cyanobacterial strains was done via SEM, followed by optimisation and characterisation of the best strain. Synechocystis NCCU-370 appeared as the best strain for the synthesis of TiO<sub>2</sub> NP in terms of size (73.39 nm) and time (24 h) after screening. Following optimisation, nanoparticles were synthesised in 12 h having an average grain size of 16 nm. The aqueous extract preparation required heating of 5 mg/ml of powdered biomass to 60 °C for 10 min. Optimum conditions for the synthesis of TiO<sub>2</sub> NP were found to be pH 7, 30 °C and 12-h cell extract exposure to 0.1 mM of salt. Antioxidant activity was evaluated via DPPH, ABTS and FRAP assay. Antifungal potential was explored against Candida albicans (MIC = 125 µg/ml), Candida glabrata (MIC = 500 µg/ml) and Candida tropicalis (MIC = 250 µg/ml), whereas antibacterial potential was gauged for Bacillus cereus (MIC = 31.25 µg/ml), Escherichia coli (MIC = 31.25 µg/ml) and Klebsiella pneumoniae (MIC = 500 µg/ml) strains. Biogenic TiO<sub>2</sub> NP demonstrated partial synergistic effect and excellent biocompatibility.",,pear,5.0,mg/g,grains AND FRAP AND antioxidant
32858842,2020,"Gąsior, Justyna; Kawa-Rygielska, Joanna; Kucharska, Alicja Z","Carbohydrates Profile, Polyphenols Content and Antioxidative Properties of Beer Worts Produced with Different Dark Malts Varieties or Roasted Barley Grains.","The aim of this study was to assess the possibility of shaping properties of beers at the stage of brewing wort production with the use of various types of special malts (chocolate pale, chocolate dark, wheat chocolate, brown barley) and roasted barley grains. The carbohydrate profile, polyphenols content, antioxidant capacity, 5-hydroxymethylfurfural content, and the browning index level were analyzed. Statistical analysis showed significant differences in the values of the examined features between the samples. The sugars whose content was most affected by the addition of special malts were maltose and dextrins. The polyphenol content in worts with 10% of additive was 176.02-397.03 mg GAE/L, ferric reducing antioxidant power (FRAP) 1.32-2.07 mmol TE/L, and capacity to reduction radical generated from 2,2'-Azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) diammonium salt (ABTS<sup>•+</sup>) 1.46-2.70 mmol TE/L. Wort with 40% dark malt showed the highest content of polyphenolic compounds and antioxidant activity (FRAP and ABTS<sup>•+</sup>). The HMF content and the browning index value were higher for wort with the addition of darker-colored malts (EBC) and increased with increasing dark malt dose.",,wheat,397.03,mg/g,grains AND FRAP AND antioxidant
35684550,2022,"Alzahrani, Alhusain J",Promising Antioxidant and Antimicrobial Potencies of Chemically-Profiled Extract from <i>Withania aristata</i> (Aiton) Pauquy against Clinically-Pathogenic Microbial Strains.,"<i>Withania aristata</i> (Aiton) Pauquy, a medicinal plant endemic to North African Sahara, is widely employed in traditional herbal pharmacotherapy. In the present study, the chemical composition, antioxidant, antibacterial, and antifungal potencies of extract from the roots of <i>Withania aristata</i> (Aiton) Pauquy (RWA) against drug-resistant microbes were investigated. Briefly, RWA was obtained by maceration with hydro-ethanol and its compounds were identified by use of high-performance liquid chromatography (HPLC). The antioxidant activity of RWA was determined by use of ferric-reducing antioxidant power (FRAP), 1,1-diphenyl-2-picrylhydrazyl (DPPH), and total antioxidant capacity (TAC). The evaluation of the antimicrobial potential of RWA was performed against drug-resistant pathogenic microbial strains of clinical importance by use of the disc diffusion agar and microdilution assays. Seven compounds were identified in RWA according to HPLC analysis, including cichoric acid, caffeic acid, apigenin, epicatechin, luteolin, quercetin, and p-catechic acid. RWA had excellent antioxidant potency with calculated values of 14.0 ± 0.8 µg/mL (DPPH), 0.37 ± 0.08 mg/mL (FRAP), 760 ± 10 mg AAE/g (TAC), and 81.4% (β-carotene). RWA demonstrated good antibacterial potential against both Gram-negative and Gram-positive bacteria, with inhibition zone diameters ranging from 15.24 ± 1.31 to 19.51 ± 0.74 mm, while all antibiotics used as drug references were infective, except for Oxacillin against <i>S. aureus</i>. Results of the minimum inhibitory concentration (MIC) assay against bacteria showed that RWA had MIC values ranging from 2.13 to 4.83 mg/mL compared to drug references, which had values ranging from 0.031 ± 0.003 to 0.064 ± 0.009 mg/mL. Similarly, respectable antifungal potency was recorded against the fungal strains with inhibition zone diameters ranging from 25.65 ± 1.14 to 29.00 ± 1.51 mm compared to Fluconazole, used as a drug reference, which had values ranging from 31.69 ± 1.92 to 37.74 ± 1.34 mg/mL. Results of MIC assays against fungi showed that RWA had MIC values ranging from 2.84 ± 0.61 to 5.71 ± 0.54 mg/mL compared to drug references, which had values ranging from 2.52 ± 0.03 to 3.21 ± 0.04 mg/mL. According to these outcomes, RWA is considered a promising source of chemical compounds with potent biological properties that can be beneficial as natural antioxidants and formulate a valuable weapon in the fight against a broad spectrum of pathogenic microbes.",,,10.0,mg aae/g,"""african heart-vine"" AND FRAP AND antioxidant"
34944422,2021,"Kawa-Rygielska, Joanna; Adamenko, Kinga; Pietrzak, Witold; Paszkot, Justyna; Głowacki, Adam; Gasiński, Alan; Leszczyński, Przemysław",The Potential of Traditional Norwegian KVEIK Yeast for Brewing Novel Beer on the Example of Foreign Extra Stout.,"The development of craft brewing has spurred huge interest in unusual and traditional technologies and ingredients allowing the production of beers that would fulfil consumers' growing demands. In this study, we evaluated the brewing performance of traditional Norwegian KVEIK yeast during the production of Foreign Extra Stout beer. The content of alcohol of the KVEIK-fermented beer was 5.11-5.58% <i>v</i>/<i>v</i>, the extract content was 5.05-6.66% <i>w</i>/<i>w</i>, and the pH value was 4.53-4.83. The KVEIK yeast was able to completely consume maltose and maltotriose. The mean concentration of glycerol in KVEIK-fermented beers was higher than in the control sample (1.51 g/L vs. 1.12 g/L, respectively). The use of KVEIK-type yeast can offer a viable method for increasing the concentration of phenolic compounds in beer and for boosting its antioxidative potential. The beers produced with KVEIK-type yeast had a total phenol content of 446.9-598.7 mg GAE/L, exhibited antioxidative potential of 0.63-1.08 mM TE/L in the DPPH<sup>•</sup> assay and 3.85-5.16 mM TE/L in the ABTS<sup>•+</sup> assay, and showed a ferric ion reducing capacity (FRAP) of 3.54-4.14 mM TE/L. The KVEIK-fermented bears contained various levels of volatile compounds (lower or higher depending on the yeast strain) and especially of higher alcohols, such as 3-metylobutanol, 2-metylobutanol, and 1-propanol, or ethyl esters, such as ethyl acetate or decanoate, compared to the control beers. In addition, they featured a richer fruity aroma (apricot, dried fruit, apples) than the control beers fermented with a commercial US-05 strain.",,apple,598.7,mg/g,"""apples"" AND FRAP AND antioxidant"
31131419,2019,"Gong, Chen-Fang; Wang, Yu-Xia; Wang, Meng-Li; Su, Wei-Chao; Wang, Qin; Chen, Qing-Xi; Shi, Yan",Evaluation of the Structure and Biological Activities of Condensed Tannins from Acanthus ilicifolius Linn and Their Effect on Fresh-Cut Fuji Apples.,"Condensed tannins (CT<sub>S</sub>) have been isolated and purified from leaves of Acanthus ilicifolius Linn. And their structures were investigated by three methods: <sup>13</sup>C nuclear magnetic resonance (<sup>13</sup>C NMR), reversed-phase high-performance liquid chromatography (RP-HPLC), and matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF MS). The results showed that the CT<sub>S</sub> were a mixture of catechin/epicatechin, galatechin/epicatechin, and amphicin/epigalin, and that the polymer chain lengths were 3-mers to 14-mers. Antityrosinase activities and antioxidant activities of the CT<sub>S</sub> from A. ilicifolius leaves were further studied. The IC<sub>50</sub> of the CT<sub>S</sub> on mushroom tyrosinase activity was determined to be 19.7 ± 0.13 μg/mL, and inhibition type analyses indicated that the CT<sub>S</sub> were mixed type inhibitors and their inhibition CT<sub>S</sub> was reversible. The CT<sub>S</sub> from A. ilicifolius leaves also exhibited potential antioxidant activity. The IC<sub>50</sub> of DPPH and ABTS scavenging activities were 104 ± 0.894 μg/mL and 86 ± 0.616 μg/mL, respectively. And the FRAP value was 758.28 ± 2.42 mg AAE/g. In addition, we found that the CT<sub>S</sub> from A. ilicifolius leaves had an excellent effect on preserving the quality of fresh-cut apples by preventing apples from browning through reducing polyphenol oxidase activities in apples.",,apple,2.42,mg aae/g,"""apples"" AND FRAP AND antioxidant"
