Food Product,Moisture,Protein,Fat,Total Carbohydrates,Sugars,Dietary Fiber,Crude Fiber,Ash,FRAP_synthetic
"Rice, Agb0101, brown, genetically modified, raw",11.08,6.962436,2.054052,72.15627049019609,16.57955294117647,4.583068431372548,0.764712,1.164852,22.50663656691205
"Rice, Minghui 86, raw",11.0,8.3,1.04,72.9126931372549,14.180135294117648,6.6,3.9353014117647063,0.8,57.997529184223794
"Rice, Minghui 86, genetically modified, raw ",11.5,8.5,0.82,71.66975196078431,13.523352941176471,6.8,3.9353014117647063,0.8,59.73751603676766
"Rice, Njavara, red, long, bold, dehusked, raw",13.1,8.27288,2.15512,71.32105084313726,19.73349411764706,6.094469607843137,0.45188,1.23398,28.725948900533538
"Rice, PTB 39/ Jyothi, red, long, bold, dehusked, raw",13.0,6.9339,2.262,71.70518319607844,19.32415294117647,4.7999978431372545,0.3741,1.3398,22.237128616689148
"Rice, IR 64, brownish white, long, slender, raw",13.6,6.868800000000001,1.77984,71.21987437254903,22.49792941176471,4.767640666666666,0.45792,1.09728,21.384158503442904
"Rice, Iksan483, genetically modified, brown, raw",8.44,7.38,2.41,79.62,14.205523529411764,0.83,2.728854588235294,1.33,0.14524598844660985
"Rice, Anjung, conventional, brown, raw",9.39,8.21,2.42,77.52,14.205523529411764,1.05,2.728854588235294,1.43,0.9213720074151709
"Rice, Shindongjin, conventional, brown, raw",9.05,6.87,2.46,79.46,14.180135294117648,0.94,2.7288545882352944,1.23,5.838778520319674
"Rice, Milyang204, genetically modified, brown, raw",7.77,6.73,2.7,80.53,14.597376470588236,1.06,2.728854588235294,1.21,1.1830014658888452
"Rice, Dongjin , conventional, brown, raw",7.79,7.1,2.42,80.44,14.597376470588236,0.94,2.728854588235294,1.32,0.20936727856240772
"Rice, Junam, conventional, brown, raw",8.66,6.97,2.35,79.73,14.205523529411764,0.98,2.7288545882352944,1.3,1.2814502005150086
"Rice, wild, Chinese, raw",9.51,12.0,1.09,75.04,8.751341176470588,1.24,3.2466545882352937,1.11,1.4454460387738468
"Rice, wild, Chinese, raw",9.62,13.48,1.06,72.61,8.404599999999999,1.87,4.6548407058823535,1.36,2.5424999477458874
"Rice, wild, Chinese, raw",9.43,15.15,1.23,71.16,8.400576470588234,1.58,5.687801294117647,1.45,0.5723194589295291
"Rice, wild, Chinese, raw",9.34,12.57,0.94,73.92,8.404599999999999,1.93,3.4437134117647057,1.3,1.2291195553414522
"Rice, wild, Chinese, raw",9.64,12.96,1.02,73.25,8.4046,1.86,3.8845887058823525,1.27,0.3421692577579363
"Rice, wild, North American, raw",9.12,13.03,0.94,74.29,8.400576470588234,1.15,4.197124,1.47,0.35438537206708776
"Rice, wild, North American, raw",9.24,13.24,0.72,74.25,8.741435294117645,1.24,4.589381882352942,1.31,0.9133013492792199
"Eincorn wheat, grain, raw",12.36666666666666,9.46,4.063634235294118,62.81333333333333,13.089858823529411,11.30333333333333,2.6819155294117643,1.906666666666667,2.7515720864638458
"Green pod, raw",40.5,16.5,9.2,24.6,39.80470588235294,12.006748098039216,6.5,2.7,3.2340550856647328
"Creeping bauhinia/ Marama bean/ Tamani berry, green pod, fresh, raw",72.5,6.4,2.9,13.6,15.413570588235292,5.1651058823529405,3.3,1.3,3.448237262108968
"Yam bean, seeds, raw",7.3,28.27,26.8,26.85,3.3647058823529408,14.848423529411765,6.2,4.58,3.2553985711267712
"Broad bean, 'White Windsor', seed, raw, milled",12.76,28.257036,2.608476,50.736447058823536,5.8325958823529405,14.918053607843136,7.424123999999999,3.123192,88.8272851020277
"Horse (field) bean, 'Nadwinslanski', seed, raw, milled",11.09,26.086194,1.493688,49.693085352941175,5.142595882352942,13.487942823529412,7.948554000000001,3.503054,87.22030631137636
"Common bean, 'Longina', seed, raw, milled",10.57000000000001,23.681064,1.958517,53.54262941176471,7.890978235294117,14.123036019607843,4.310525999999999,3.630858,79.29488471516072
"Field pea, 'Fidelia', seed, raw, milled",11.27000000000001,22.528547,2.830487,54.73260194117647,8.64392788235294,14.092688882352942,4.312278,2.732884,72.34797959384474
"Flat pea, 'Fortella', seed, raw, milled",10.5,24.6125,2.67605,51.679172411764704,5.174854705882352,13.487942823529412,5.1373,2.80135,77.88805629783747
"Garden pea, 'Elektron', seed, raw, milled",11.75,21.4271,2.762224999999999,55.931599176470584,7.66276905882353,15.873568999999998,2.762224999999999,2.691625,72.23831834669116
"Kidney bean, 'Eureka', seed, raw, milled",11.42999999999999,19.122263,3.967936,58.21695470588236,5.881788235294118,19.192992921568628,4.109648,4.295645,64.53851302170213
"Lentil, 'Trebisowska', seed, raw, milled",9.679999999999993,27.3218,2.854112,54.014221176470585,5.375305882352941,13.226034,3.766344,3.152168,87.57750266440188
"Velvet beans, seeds, mature, raw",9.94,20.902926,6.25917,49.271826,3.764705882352941,17.842844352941174,7.096728000000001,4.692126,1.2863428370802596
"Velvet bean, var. utilis, Black, seeds, mature, raw",6.7,18.8466,5.8779,57.0996,4.342094117647058,17.744207826863057,5.167376588235294,3.3588,0.2300217035825003
"Velvet bean, var. utilis, Black, seeds, mature, raw",8.5,26.8095,5.856,45.6585,4.631184117647059,16.02279335294118,5.861742705882352,3.843,3.7614282759667796
"Velvet bean, var. utilis, Black, seeds, mature, raw",7.9,24.7749,6.8154,47.7999,2.9842176470588235,16.290284058823527,6.893470470588234,3.039299999999999,1.2195707673557064
"Velvet bean, var. utilis, White, seeds, mature, raw",7.1,24.8043,6.8746,46.5429,3.0077470588235293,16.547532411764706,6.920723411764706,5.109500000000001,1.5373478394255926
"Zaragoza bean, White, raw",8.97,21.28,0.87,61.74,8.564170588235294,19.0554203965051,3.72,3.42,4.906675670905603
"Zaragoza bean, Spotted, raw",8.58,20.24,0.95,63.44,8.10960588235294,19.168088361914204,3.03,3.76,1.535188314965071
"Zaragoza bean, Red, raw",8.47,19.6,0.96,63.14,7.192264705882352,19.626911891325967,4.09,3.74,1.2435490465810712
"Brachystegia eurycoma, seeds, raw",7.5,8.75,11.5,67.2,8.58364705882353,12.152896960784314,4.061902117647058,2.2,0.8415843276646772
"Canavalia ensiformis, seeds, raw",7.4,26.5,9.6,46.9,2.7724529411764705,17.54631282352941,5.870944882352941,2.0,0.6358967330053764
"Brachystegia eurycoma, seeds, raw",7.6,10.0,13.0,64.4,4.812241176470588,16.11952343137255,4.694843294117647,2.3,3.925905614998361
"Canavalia ensiformis, seeds, raw",9.6,24.6,7.2,46.2,2.8986705882352943,16.96892605882353,5.967550647058823,2.0,2.1394673645989575
"Terapy bean, White, seeds, raw",5.44,20.216928,1.059072,60.69089747058824,7.847688235294117,17.0318932038835,5.941865647058823,3.820224,155.26641296915827
"Terapy bean, White, seeds, raw",1.67,16.952092,1.071797,55.475068823529405,5.7894411764705875,23.20313618441008,5.4691261176470585,4.670675,176.04794356082826
"Terapy bean, White, seeds, raw",4.02,22.12339,0.950202,54.57939223529412,5.241423529411764,13.17410564589435,4.232322352941176,3.781612,139.6507187549167
"Terapy bean, White, seeds, raw",2.19,17.097188,0.909633,58.27577841176471,5.890029411764706,16.96149994953064,5.589590823529412,4.372107,146.29243010609747
"Terapy bean, Brown, seeds, raw",5.54,21.82026,1.03906,59.845508352941174,6.060235294117647,17.17280889787664,5.438628235294117,3.806738,160.864561285315
"Terapy bean, Brown, seeds, raw",5.64,21.495208,0.688828,60.129099999999994,7.205923529411765,16.48234511937141,5.523557647058824,4.491536,155.40378578206173
"Terapy bean, Brown, seeds, raw",5.36,20.77348,0.766584,57.04963252941177,7.422999999999999,13.69174311926606,6.376149529411765,4.30612,140.02582783834995
"Terapy bean, Brown, seeds, raw",5.31,21.267374,0.909024,60.040626,7.2471,17.51535541195476,5.363996588235294,4.412554,158.08527366869575
"Terapy bean, Brown, seeds, raw",6.77,19.531685,0.978915,62.28931735294117,8.252982352941176,16.41300252652855,4.208122,4.074151000000001,148.60949922187817
"Terapy bean, Brown, seeds, raw",2.22,18.13819,0.8800200000000001,55.24889070588235,6.237458823529412,22.09176791120081,5.777678941176471,4.25343,173.57869609664345
"Terapy bean, Blue, seeds, raw",2.57,22.155582,1.149674,56.16045294117647,4.2243705882352955,18.92993321190042,3.561734117647059,3.721826000000001,170.6649659395356
"Terapy bean, Brown speckled, seeds, raw",2.53,20.712375,1.120905,55.45162941176471,6.082417647058824,22.40281638846737,4.355851764705882,3.947535,183.84251699923058
"Terapy bean, Black, seeds, raw",7.94,20.326848,0.708862,62.12709970588236,8.305923529411768,17.14470220699385,4.122880823529412,4.133494,157.54724868379668
"Terapy bean, Black, seeds, raw",2.4,22.36016,1.00528,56.020582352941176,4.76845294117647,20.6501364049712,3.5896870588235292,4.518879999999999,181.544889730198
"Lentil, Red, raw",9.6,23.0,1.9,47.6,2.7,13.7,4.744478764705882,2.1,0.05423930367535279
"Chickpea, Kabuli, raw",8.9,19.9,6.7,46.1,3.3,13.5,7.262585823529412,2.6,1.9509078107606745
"Chickpea, Desi, raw",8.3,19.7,5.5,41.4,2.2,20.8,6.774184176470588,2.6,3.342199781945725
"Lentil, Green, raw",11.8,25.3,1.7,42.1,1.5,14.6,5.539179470588235,2.3,1.2677977565251384
"Mung beans, Crystal, raw",10.3,24.5,2.0,43.2,2.1,13.7,5.141255,3.5,4.313913050012935
"Lentil, Green, whole, large, raw",9.4,25.61,2.1497182352941175,53.61322411764706,1.5,17.7,4.061534941176471,2.14,167.3132149878751
"Lentil, Green, whole, medium, raw",9.47,23.94,2.371405294117647,55.26680294117647,1.5,15.6,3.8420135294117643,2.04,153.72857193539883
"Lentil, Green, whole, small, raw",8.89,25.38,2.5758611764705885,53.71814764705883,1.5,18.0,4.098888823529411,2.29,168.32253411025724
"Lentil, Green, whole, French, raw",9.08,25.18,2.3722511764705883,54.64514176470589,1.4,16.8,4.011044117647059,2.01,162.20868115707327
"Lentil, Red, whole, small, raw",9.05,25.29,2.372251176470588,54.64514176470589,1.2,16.9,4.086371176470588,1.76,164.3318629290775
"Lentil, Red, whole, extra small, raw",8.99,25.09,2.5758611764705885,54.9622005882353,1.4,21.0,4.011044117647058,2.21,180.915201234936
"Pea, Green, whole, raw",9.53,18.44,2.9193398235294117,59.765304470588234,2.9,26.0,4.731412529411764,2.26,189.14275980928636
"Pea, Yellow, whole, raw",10.36,18.66,3.327475352941176,58.11859811764705,2.2,20.4,5.527161235294118,1.8,158.54238331906498
"Chickpea, Desi, raw",6.68,20.79,2.9070094705882354,59.2576545882353,1.7,21.5,4.279484117647058,1.46,169.16366133852867
"Chickpea, Kabuli, raw",7.61,21.54,3.0689269411764704,56.74072647058823,2.8,12.6,4.499988823529412,1.17,125.02161806835805
"Lima bean, seeds, raw",10.379803921568627,22.0158,0.93318,57.4404,7.664543117647059,20.19281932547268,7.00338,3.18006,0.2784630059499005
"Mung bean, var. Asha, seeds, fully mature, raw",9.2,18.16,1.19856,64.7404,7.0967882352941185,19.810933682592502,3.8136,2.91468,2.80751146553515
"Mung bean, var. Muskan, seeds, fully mature, raw",9.7,19.9563,1.10166,61.5846,7.298735294117647,20.911931278442495,4.6956,2.95281,1.2306794863409025
"Mung bean, var. Satya, seeds, fully mature, raw",8.7,20.8164,1.19603,62.9057,7.312123529411765,19.450023742430623,3.8346,2.54727,2.036096936380728
"Mung bean, var. MH 124, seeds, fully mature, raw",8.7,17.4383,1.13212,65.6447,6.935670588235294,18.088055866078744,4.1998,2.84856,1.772086124219907
"Mung bean, var. MH 125, seeds, fully mature, raw",8.3,20.9993,1.12791,61.8058,7.312123529411766,18.885735420737735,4.9518,2.82436,0.10743800176487339
"Mung bean, var. MH 318, seeds, fully mature, raw",9.7,18.7824,1.36353,63.1197,7.0967882352941185,21.156553141187594,3.7023,3.295949999999999,0.38413954356050095
"Mung bean, var. MH 421, seeds, fully mature, raw",8.8,16.3248,1.05792,66.8496,6.849200000000001,16.493601564945447,4.0128,3.07344,3.0358792352741126
"Mung bean, var. MH 539, seeds, fully mature, raw",8.9,20.6797,1.23896,61.8569,8.752676470588234,19.33777333768157,4.2817,3.05185,1.5735271522460168
"Mung bean, var. MH 560, seeds, fully mature, raw",8.0,18.032,1.3616,64.12400000000001,6.936223529411765,19.475206891325968,4.784000000000001,3.7536,1.212450476425926
"Mung bean, var. MH 564, seeds, fully mature, raw",9.5,19.0955,1.4842,63.25950000000001,7.3602823529411765,20.185852847069945,4.0725,2.61545,2.86633631040821
"Cowpea, Black, seeds, whole, raw",7.88,20.78,1.54,64.26,7.395923529411766,18.743035752849167,1.48,4.06,2.7607593185199937
"Cowpea, White, seeds, whole, raw",8.92,22.34,2.08,60.55,8.27253788235294,18.818845134234778,1.88,4.23,2.4530947662170077
"Cowpea, Black/white speckled, seeds, whole, raw",7.81,27.22,1.36,58.19,6.233047058823529,16.26593654600535,1.42,4.0,1.283828163495408
"Cowpea, Red, seeds, whole, raw",9.94,21.66,0.63,62.29,8.846949647058823,21.08083863138367,1.39,4.09,6.239908942245346
"Kidney bean, Red, seeds, whole, raw",9.39,23.83,1.5,60.14,6.925417647058824,18.592353542602467,1.29,3.85,1.8198714042652941
"Cowpea, var. Adzuki, Maroon, seeds, raw",9.328823529411764,28.0462,1.876,56.749,6.338835294117648,16.29002856447643,3.4706,3.6582,0.7861493004810103
"Cowpea, var. New Era, Dark brown, seeds, raw",15.068823529411763,30.2203,1.4608,54.5061,6.338835294117648,13.664442999999999,3.0129,2.0999,2.240786297299895
"Cowpea, var. Nig. A95, White, seeds, raw",9.42235294117647,24.881,1.7005,57.01150000000001,6.118182352941177,17.590309107488782,3.222,2.7745,0.39763422519254676
"Cowpea, var. Farin Juda C, Cream with mottled brown back, seeds, raw",9.435294117647057,28.0275,2.035,56.3325,6.163541176470589,16.29002856447643,3.2375,2.8675,2.7190354328492723
"Cowpea, var. West bred, Cream, seeds, raw",9.45058823529412,23.3748,1.5402,59.9772,9.327249647058823,18.62696635442953,2.718,2.9898,0.4305924994294482
"Cowpea, var. Nig. B4, Brown, seeds, raw",9.614705882352942,25.665,1.8585,56.463,6.181123529411765,16.868816558469174,1.77,2.7435,0.30021621642597296
"Cowpea, var. Mala, Cream, seeds, raw",10.409411764705885,23.706,1.756,55.8408,7.837658823529413,17.57843946042996,3.424199999999999,3.1608,0.1419159978972817
"Cowpea, var. Nig. A104, White, seeds, raw",9.300392156862744,22.9941,1.762,57.79359999999999,9.29918494117647,18.979587501943268,2.5549,2.9954,0.022044552652513927
"Cowpea, var. Nig. B7, Brown, seeds, raw",9.41,25.3851,1.794,57.0492,6.118182352941177,17.999185290981217,1.8837,3.8571,1.9447689842051326
"Cowpea, var. Prima, Cream, seeds, raw",9.438627450980391,23.161,2.0976,57.9462,8.959773176470588,18.39859311211357,1.4858,2.622,3.5189977582436063
"Cowpea, var. Kano 2479, White, seeds, raw",10.060588235294118,24.9606,1.323,54.77220000000001,6.118182352941177,16.144546734939762,3.1752,3.969,0.7514314121934864
"Cowpea, var. Kano 1696, White, seeds, raw",10.148823529411764,25.6082,1.4858,53.2266,6.118182352941177,15.586097408835585,2.7968,4.2826,3.098901581716704
"Cowpea, var. Line 7, Cream, seeds, raw",9.18470588235294,26.2735,1.2155,58.99850000000001,6.260717647058823,17.999185290981217,3.2725,3.8335,1.1778702419511053
"Cowpea, var. Anna, White, seeds, raw",11.091176470588236,27.4122,1.3095,51.0705,6.687776470588236,13.739193788527716,2.9682,4.6269,1.2165073047404689
"Cowpea, var. Ima, Cream, seeds, raw",9.549215686274508,23.6016,1.6986,56.76900000000001,7.893637882352941,18.307114560766795,2.7714,4.6488,2.2271571688756615
"Cowpea, var. Kudi, White, seeds, raw",10.29764705882353,23.8656,1.8984,58.48880000000001,7.387694117647059,17.999185290981217,2.8928,3.2544,4.989785838056129
"Cowpea, var. Ayi, Cream, seeds, raw",9.566470588235294,24.728,1.672,55.528,6.118182352941176,16.868816558469174,2.992,3.256,0.27682041920086076
"Cowpea, var. Ife, Brown, seeds, raw",9.52,24.66,1.8,57.15,6.118182352941177,17.999185290981217,2.7,3.15,2.8564814692240947
"Cowpea, var. FARV 13, Dark Marron, seeds, raw",9.411372549019609,22.1154,1.6182,59.6936,7.870025470588236,20.112342455112884,2.4273,3.9556,0.34412308466482333
"Cowpea, var. TVu 4557, Cream, seeds, raw",10.338235294117649,23.9766,1.706199999999999,57.023,7.274988235294118,18.454809491684436,3.5022,3.6818,3.1887462978743133
"Cowpea, var. Kannanado, White, seeds, raw",7.99,18.254784,3.183546,56.383728,6.898547058823529,17.50163234925917,1.858602,3.109938,2.898096776819873
"Cowpea, var. Dan Borno, Brown, seeds, raw",9.1,20.11617,3.42693,53.37648,7.244935294117647,16.46349177688199,1.20897,3.29058,0.10210904029241386
"Cowpea, var. IT93K-452-1, White, seeds, raw",7.83,20.839637,4.129216,52.195871,6.181670588235295,14.8102056902072,2.230514,3.760536,0.9937476737365047
"Cowpea, var. IT95K-499s-35, White, seeds, raw",6.8,22.25616,4.1474,52.27588000000001,4.991623529411764,13.871918201717813,2.02244,4.15672,1.635160923072064
"Cowpea, var. IAR 48, Brown, seeds, raw",8.6,24.32154,3.64686,50.13290000000001,5.891105882352941,14.840377588235294,1.26132,3.50976,0.7546444460546439
"Great Northern beans, raw",10.65,19.58,2.7544156470588232,58.72137941176471,2.9,22.8,5.4143410588235295,3.93,177.6795181234792
"Kidney beans, raw",10.75,20.73,3.016922941176471,58.62665411764706,3.5,21.1,5.1959647058823535,3.55,168.92025671383865
"Common bean, Black, raw",7.36,21.52,3.1491062352941177,59.037667705882356,3.2,21.6,4.352660823529412,4.34,180.71821519226518
"Common bean, Yellow, raw",11.39,18.07,2.505346823529411,59.517405764705885,3.3,18.6,6.105939529411764,3.85,148.4989587975018
"Common bean, Red, small, raw",9.54,20.87,2.5843317647058823,59.42507917647058,2.7,22.6,4.562911647058822,3.9,183.6548497109271
"Common bean, Pinto, raw",10.86,18.75,2.9023233529411767,59.16070576470588,2.5,20.4,5.551008176470588,3.9,161.86085491938016
"Common bean, Navy, raw",12.01,20.1,2.9197660588235297,59.31805158823529,2.2,17.5,5.180282352941177,3.93,151.43852515126196
"Green gram, Malviya-12, seeds, raw",13.39,21.0,1.8714329411764705,53.97,7.690758176470588,18.425344784313726,6.45,3.99,0.11969750447997662
"V. aconitifolia, seeds, raw",6.54,21.40234,3.299138,61.935942,6.858864705882353,18.291688572478645,4.177662,2.644918,0.4500294733977459
"V. vexillata, seeds, raw",10.11,22.005072,1.420262,60.43304700000001,8.354208470588235,19.7671326004114,3.200084,2.831535,0.7215724998882165
"Lentil, var. Blaze, Red, seeds, whole, raw",10.86,26.180418,0.374388,54.42160352941177,7.804654705882352,9.769744,4.636048,2.103704,131.60488190771943
"Lentil, var. Laird, Green, seeds, whole, raw",11.75,23.465675,0.661875,54.595251764705885,9.565031176470589,8.551425,3.9635464117647055,2.038575,112.76417390494426
"Cowpea, var. CS-46, Brown, seeds, raw",13.2,24.6,1.81,52.41652947058824,7.7,14.433275431372548,4.95,3.44,72.1441015600177
"Cowpea, var. CS-88, Brown, seeds, raw",10.95,20.07,1.96,58.336851411764705,6.47,17.454038705882354,4.27,3.59,64.4512461439789
"Cowpea, var. Cherodhi, Brown, seeds, raw",11.07,22.66,1.86,53.83925305882353,7.69,15.000787941176469,4.6,3.62,70.35325852886355
"Cowpea, var. GC-89691, Brown, seeds, raw",13.0,23.04,1.77,54.523097,8.24,15.039279019607841,4.34,3.65,65.68078465440779
"Common bean, var. Big Brown, seeds, raw",7.81,23.36,2.92,60.6,5.264382352941176,17.17001605643213,3.2,2.15,0.4224842184427511
"Common bean, var. Small Brown, seeds, raw",8.4,23.88,3.14,56.92,5.549288235294118,17.20550627271745,3.72,4.27,0.4111814586349182
"Common bean, var. Big Light Brown, seeds, raw",8.44,23.82,2.3,56.94,6.510864705882353,16.531574985615453,3.24,4.89,1.159991940511336
"Common bean, var. Pecked White, seeds, raw",8.95,22.64,6.44,40.5,3.2703176470588233,19.094117647058823,3.22,2.6220299411764705,4.853453711808487
"Common bean, var. Big White, seeds, raw",11.07,26.35,3.23,51.06,6.425676470588235,14.432666431372548,4.03,4.72,3.863896692930011
"Common bean, var. Small White, seeds, raw",9.36,25.19,3.17,53.6,6.156617647058823,14.651902137254902,3.61,3.81,3.0375672552527497
"Common bean, var. French bean, seeds, raw",14.54,32.58,4.2,26.7,8.494131999999999,19.144805843137256,7.4,11.6,2.1812446904355642
"Black bean, var. Negro Querétaro, seeds, raw",8.35,23.36,5.07,53.60597947058823,3.44,16.13945094117647,2.12628,3.62,74.88684291459771
"Cowpea, var. Asmerly, seeds, raw",10.67,19.974188,1.849131,61.601968,7.987147058823529,21.994807894529053,3.367741,2.536972,5.130794287791872
"Kidney bean, var. Giza 3, White, seeds, raw",11.67,21.958838,1.625272,57.264339,8.020973647058824,20.43057354901961,3.453703,4.027848,1.5814388612821033
"Kidney bean, seeds, raw",10.2,25.25176,1.19434,56.72666,6.618988235294118,17.736133306293752,2.77482,3.85242,1.2067430528928222
"Pea, seeds, raw",8.11,19.866618,2.232927,62.806815,7.094382352941176,19.12226571485538,4.282074,2.701566,0.36765956154238366
"Common bean, var. Sinaloa, seeds, raw",9.6,22.20224,1.37408,58.76904,8.465220235294119,19.225473220633557,3.977600000000001,4.07704,2.5540064276157057
"Common bean, var. Azufrado Higuera, seeds, raw",10.0,22.689,1.413,57.68999999999999,8.537067294117648,19.190167541587876,4.392,3.816,0.3681388985685484
"Common bean, var. Regional 87, seeds, raw",9.0,22.3587,1.365,59.54130000000001,8.465220235294117,19.001683774277954,3.822,3.913,4.633125250776494
"Common bean, var. Noroeste T-7, seeds, raw",9.0,20.9482,1.1557,61.2157,8.272358823529412,19.16718510238745,3.9403,3.7401,5.887481734480727
"Common bean, var. Peruano, seeds, raw",11.5,19.3107,2.0355,58.47195,6.8610235294117645,21.994807894529046,4.64625,4.0356,2.8803755014260357
"Common bean, var. Azufrado Pacífico, seeds, raw",11.0,21.7605,1.335,56.9155,7.982890823529412,20.154771718058463,4.9395,4.0495,0.42976716090672085
"Common bean, var. Pimono 78, seeds, raw",10.0,23.796,0.8909999999999999,55.71,7.934302588235295,17.736133306293755,5.688000000000001,3.915,3.497695250804185
"Common bean, var. Criollo Don Carlos, seeds, raw",10.4,20.8768,1.73824,58.07872,8.679984941176471,21.491838482764344,5.151999999999999,3.75424,2.624590101980928
"Common bean, var. San Francisco, seeds, raw",10.0,20.277,1.485,58.85100000000001,8.257252941176471,21.954284219618962,5.571000000000001,3.816,3.030730825621392
"Common bean, var. Madero, seeds, raw",10.0,20.277,1.107,60.57,8.210194117647058,21.954284219618962,4.221,3.825,2.405733585804855
"Common bean, var. MAM-38, seeds, raw",9.0,18.7551,1.8291,61.88910000000001,6.905864705882353,19.95333933666698,4.9049,3.6218,5.962277996760678
"Common bean, var. Pinto Villa, seeds, raw",9.0,20.3476,1.2012,61.0792,8.572276470588235,19.561788448312974,5.096,3.276,1.3809815175162015
"Common bean, var. V-8025, seeds, raw",9.6,19.3456,1.4464,59.95327999999999,6.781511764705883,21.15655314118759,5.469200000000001,4.18552,4.09794087319823
"Common bean, var. Azufrado Tapatio, seeds, raw",12.0,25.3176,1.1968,52.2896,7.129573176470589,14.858212549019607,5.579199999999999,3.6168,0.5634635755240135
"Common bean, Brown, PI-163579, seeds, raw",12.6,19.228,0.8740000000000001,57.193781058823525,6.9046,18.34865929411765,5.242880294117647,3.4086,58.11082044318412
"Common bean, Light brown, PI-169735, seeds, raw",9.5,19.6385,1.448,60.55412752941177,6.516,15.930766435305243,4.919335294117647,3.801,62.25147096341243
"Common bean, Purple with tan speckles, PI-171790, seeds, raw",10.2,21.4622,1.1674,58.1900945882353,11.9434,14.155226129823166,4.591412058823529,2.3348,53.607836326656475
"Common bean, Solid tan (brown), PI-176684, seeds, raw",11.5,12.4785,0.9735,67.33891449019609,12.8325,6.8763234313725485,4.883342117647058,3.717,30.275869656697374
"Common bean, Solid black, PI-201374, seeds, raw",13.3,16.473,1.2138,61.48584164705882,12.2247,14.948063392156863,4.651632294117647,3.7281,43.07711202209165
"Common bean, Solid black, PI-310711, seeds, raw",12.1,20.9202,1.2306,56.22649570588235,6.328800000000001,17.37254260784314,4.847757941176471,1.8459,61.867214196765545
"Common bean, Solid black, PI-345576, seeds, raw",11.1,28.9814,0.889,53.58916235294118,8.0899,13.603489078431373,4.648243176470588,3.733800000000001,87.0360850855736
