Food Product,Moisture,Protein,Fat,Total Carbohydrates,Sugars,Dietary Fiber,Crude Fiber,Ash,Side Stream
"Lupine, 'Multitalia', seeds, raw",,34.498,8.9676,,,,10.34,3.6848,
"Lupine, 'Multitalia', seeds, raw",,35.1267,8.05476,,,,11.6487,3.15147,
"Lupine, 'Multitalia', seeds, raw",,40.45350000000001,9.5025,,,,11.6745,3.82815,
"Lupin, Rubatab, seeds, raw",4.6,46.3,10.4,,,,10.0,1.6,
"Lupin, 'Multitalia', seeds, raw",,27.2952,7.251960000000001,,,,,4.067519999999999,
"Faba bean, 'Aurelia', seeds, raw",,27.57105,1.4391,,2.3166,,,,
"Faba bean, 'Divine', seeds, raw",,26.50147500000001,1.25315,,2.73575,,,,
"Faba bean, 'Gloria', seeds, raw",,29.852709,1.160791,,2.676022,,,,
"Faba bean, 'Limbo', seeds, raw",,28.385952,1.46916,,2.421888,,,,
"Faba bean, 'Fuego', seeds, raw",,25.535412,1.287279,,2.583315,,,,
"Faba bean, 'Espresso', seeds, raw",,24.858032,1.368412,,2.335888,,,,
"Pea, 'Santana', seeds, raw",,22.216298,1.620856,,4.008095,,,,
"Pea, 'Jutta', seeds, raw",,22.5992,1.712324,,3.685408,,,,
"Pea, 'Phönix', seeds, raw",,21.628189,1.998876,,4.146791,,,,
"Pea, 'Harnas', seeds, raw",,22.35857,1.72458,,4.10241,,,,
"Pea, 'Rocket', seeds, raw",,22.20976,1.713824,,3.882336,,,,
"Pea, 'Hardy', seeds, raw",,19.52408,1.68296,,3.58392,,,,
"Lupin, Sweet, 'Probor', seeds, raw",,34.02048,5.658047999999999,,5.540736,,,,
"Lupin, Sweet, 'Bornal', seeds, raw",,42.42886500000001,5.103956,,5.728566000000001,,,,
"Lupin, Sweet, 'Boregine', seeds, raw",,32.591482,5.387998,,5.99676,,,,
"Lupin, Sweet, 'Boruta', seeds, raw",,30.572096,4.839981,,4.569591000000001,,,,
"Lupin, Sweet, 'Idefix', seeds, raw",,34.627725,6.165093,,4.589871,,,,
"Lupin, seeds, raw",12.27,32.670652,8.264166,,,,8.483491,2.640673,
"Lupin, seeds, whole, raw",8.32,29.52096000000001,5.454960000000001,,,,14.85216,2.42952,
"Lupin, 'Juno', Yellow, seeds, raw",,38.165,4.759399999999999,,,,14.9068,4.759399999999999,
"Lupin, 'Popiel', Yellow, seeds, raw",,39.4254,4.7382,,,,13.5888,4.5594,
"Lupin, 'Amulet', Yellow, seeds, raw",,39.8712,4.130799999999999,,,,14.9966,4.8492,
"Lupin, 'Radames', Yellow, seeds, raw",,37.8112,5.1072,,,,14.8736,5.1072,
"Lupin, 'Cybis', Yellow, seeds, raw",,39.7782,5.0512,,,,14.2516,4.8708,
"Lupin, 'Manru', Yellow, seeds, raw",,39.24,4.95,,,,15.57,4.77,
"Lupin, 'Hetman', White, seeds, raw",,33.9966,9.8172,,,,11.817,4.1814,
"Lupin, 'Bardo', White, seeds, raw",,31.6953,9.4815,,,,12.4614,3.612,
"Lupin, 'Wat', White, seeds, raw",,28.3668,9.4248,,,,14.4144,3.9732,
"Lupin, 'Emir', seeds, raw",,29.77,6.2288,,,,13.0072,3.664,
